cotacaoCompra;cotacaoVenda;data
1.8003;1.8011;2000-01-03
1.8329;1.8337;2000-01-04
1.8536;1.8544;2000-01-05
1.8453;1.8461;2000-01-06
1.8273;1.8281;2000-01-07
1.8153;1.8161;2000-01-10
1.8211;1.8219;2000-01-11
1.8306;1.8314;2000-01-12
1.8185;1.8193;2000-01-13
1.7989;1.7997;2000-01-14
1.7949;1.7957;2000-01-17
1.7916;1.7924;2000-01-18
1.7976;1.7984;2000-01-19
1.7793;1.7801;2000-01-20
1.7776;1.7784;2000-01-21
1.7644;1.7652;2000-01-24
1.7733;1.7741;2000-01-25
1.7761;1.7769;2000-01-26
1.7745;1.7753;2000-01-27
1.7867;1.7875;2000-01-28
1.8016;1.8024;2000-01-31
1.7924;1.7932;2000-02-01
1.7892;1.79;2000-02-02
1.7771;1.7779;2000-02-03
1.7777;1.7785;2000-02-04
1.7651;1.7659;2000-02-07
1.7646;1.7654;2000-02-08
1.7624;1.7632;2000-02-09
1.7687;1.7695;2000-02-10
1.7639;1.7647;2000-02-11
1.7691;1.7699;2000-02-14
1.7756;1.7764;2000-02-15
1.7724;1.7732;2000-02-16
1.7732;1.774;2000-02-17
1.7697;1.7705;2000-02-18
1.7776;1.7784;2000-02-21
1.7817;1.7825;2000-02-22
1.7878;1.7886;2000-02-23
1.7771;1.7779;2000-02-24
1.7733;1.7741;2000-02-25
1.778;1.7788;2000-02-28
1.7677;1.7685;2000-02-29
1.767;1.7678;2000-03-01
1.7592;1.76;2000-03-02
1.7503;1.7511;2000-03-03
1.749;1.7498;2000-03-08
1.7335;1.7343;2000-03-09
1.7378;1.7386;2000-03-10
1.7494;1.7502;2000-03-13
1.7364;1.7372;2000-03-14
1.7423;1.7431;2000-03-15
1.7349;1.7357;2000-03-16
1.7399;1.7407;2000-03-17
1.738;1.7388;2000-03-20
1.7373;1.7381;2000-03-21
1.7297;1.7305;2000-03-22
1.7234;1.7242;2000-03-23
1.7226;1.7234;2000-03-24
1.7354;1.7362;2000-03-27
1.7448;1.7456;2000-03-28
1.7371;1.7379;2000-03-29
1.7514;1.7522;2000-03-30
1.7465;1.7473;2000-03-31
1.7399;1.7407;2000-04-03
1.7417;1.7425;2000-04-04
1.7524;1.7532;2000-04-05
1.7415;1.7423;2000-04-06
1.7431;1.7439;2000-04-07
1.7379;1.7387;2000-04-10
1.744;1.7448;2000-04-11
1.7463;1.7471;2000-04-12
1.7625;1.7633;2000-04-13
1.7825;1.7833;2000-04-14
1.7865;1.7873;2000-04-17
1.7688;1.7696;2000-04-18
1.7654;1.7662;2000-04-19
1.7776;1.7784;2000-04-20
1.7908;1.7916;2000-04-24
1.788;1.7888;2000-04-25
1.7977;1.7985;2000-04-26
1.8075;1.8083;2000-04-27
1.8059;1.8067;2000-04-28
1.8;1.8008;2000-05-02
1.8154;1.8162;2000-05-03
1.8136;1.8144;2000-05-04
1.811;1.8118;2000-05-05
